participant_id,wcst_rl_alpha,wcst_rl_beta,wcst_rl_n_trials,wcst_rl_alpha_pos,wcst_rl_alpha_neg,wcst_rl_alpha_asymmetry,wcst_rl_beta_asym,wcst_rl_asym_n_trials
qZZiI6GzgxOrpQDGu42ZA0xsGEJ2,0.8866336700841169,0.5300163940352862,128,0.8710240450736039,0.9030024835879763,-0.03197843851437243,0.5312988954197121,128
qnR5PLX1v3fPi6SwTJMwGcadwyD3,0.01,0.1,82,0.779277530529732,0.01,0.769277530529732,0.1,82
qsRKc69hK6e8Uu6vr2pBO8NbpMt2,0.01,0.1,79,0.01,0.99,-0.98,0.4208416884631927,79
rFV2EUbp64f5ORSh7DqwmCQmeqT2,0.01,0.1,95,0.01,0.2513337089470244,-0.24133370894702438,0.1,95
rNe3cRPepZUXbJhmmfQZiGsVzX22,0.01,0.1,112,0.8834195171664108,0.01,0.8734195171664108,0.3011802646330157,112
rUuJv5gl7dWVo7UPQWMx4bohxhK2,0.01,0.1,89,0.01,0.652158685585203,-0.642158685585203,2.040917493639006,89
roaf78tUWxWSEjAUcUu8O7mrQbl1,0.01,0.1,78,0.01,0.01,0.0,0.1,78
s48aCkolCSNbBRSSRPle0r61a7H2,0.019197037588970126,10.0,127,0.99,0.6903199757379225,0.2996800242620775,1.7920304035367263,127
s5gTyWKzfkdHXNT3qicwPmdONYv1,0.01,5.132457007922078,80,0.01,0.01,0.0,5.132496605003761,80
sqfXvh6GJLaYAqr3RvHrixP8IOx1,0.01,0.1,78,0.01,0.99,-0.98,0.1,78
ssPK6ISW0HerTGke9hznqJ2LpKu1,0.01,0.1,83,0.99,0.8160414484169417,0.17395855158305829,0.16102744240316902,83
tB4wPBbnWJUXeOC3Zxjph0Esgjf1,0.01,0.1,113,0.6561996570881783,0.01,0.6461996570881783,0.1,113
